t,y_approx,y_exact,abs_error
0,0.5,0.5,0
0.1,0.65725,0.657415,0.000164541
0.2,0.828961,0.829299,0.000337371
0.3,1.01455,1.01507,0.000518415
0.4,1.21338,1.21409,0.000707491
0.5,1.42474,1.42564,0.000904288
0.6,1.64783,1.64894,0.00110834
0.7,1.8818,1.88312,0.001319
0.8,2.12569,2.12723,0.0015354
0.9,2.37844,2.3802,0.00175642
1,2.63888,2.64086,0.00198065
1.1,2.90571,2.90792,0.00220632
1.2,3.17751,3.17994,0.00243125
1.3,3.4527,3.45535,0.0026528
1.4,3.72953,3.7324,0.00286777
1.5,4.00608,4.00916,0.00307233
1.6,4.28022,4.28348,0.00326192
1.7,4.5496,4.55303,0.00343114
1.8,4.8116,4.81518,0.00357362
1.9,5.06337,5.06705,0.00368185
2,5.30172,5.30547,0.00374707
